ds,y,temperature,humidity,is_weekend,school_holiday
2024/3/1,2,5.1,0.7,0,0
2024/3/2,4,5.3,0.7,1,0
2024/3/3,1,8.3,0.7,1,0
2024/3/4,0,9.3,0.7,0,0
2024/3/5,2,8.8,0.7,0,0
2024/3/6,1,8.8,0.7,0,0
2024/3/7,2,9.7,0.7,0,0
2024/3/8,1,9.5,0.7,0,0
2024/3/9,3,10,0.7,1,0
2024/3/10,2,10.9,0.7,1,0
2024/3/11,4,14.2,0.7,0,0
2024/3/12,0,14.8,0.7,0,0
2024/3/13,3,15.2,0.7,0,0
2024/3/14,2,15.3,0.7,0,0
2024/3/15,4,16.3,0.7,0,0
2024/3/16,3,17.5,0.7,1,0
2024/3/17,4,14.5,0.7,1,0
2024/3/18,1,9.4,0.7,0,0
2024/3/19,5,11.4,0.7,0,0
2024/3/20,1,12.8,0.7,0,0
2024/3/21,8,15.8,0.7,0,0
2024/3/22,6,20,0.7,0,0
2024/3/23,3,22.2,0.7,1,0
2024/3/24,1,15.8,0.7,1,0
2024/3/25,3,10.8,0.7,0,0
2024/3/26,1,11.6,0.7,0,0
2024/3/27,2,13.7,0.7,0,0
2024/3/28,5,17,0.7,0,0
2024/3/29,1,22.2,0.7,0,0
2024/3/30,1,23.3,0.7,1,0
2024/3/31,10,21.9,0.7,1,0
2024/4/1,7,20.4,0.79,0,0
2024/4/2,9,19.3,0.79,0,0
2024/4/3,7,16.3,0.79,0,0
2024/4/4,3,13.7,0.79,0,0
2024/4/5,2,14.3,0.79,0,0
2024/4/6,6,14.4,0.79,1,0
2024/4/7,15,15,0.79,1,0
2024/4/8,9,17,0.79,0,0
2024/4/9,4,18.2,0.79,0,0
2024/4/10,9,18.8,0.79,0,0
2024/4/11,12,18.3,0.79,0,0
2024/4/12,6,19.6,0.79,0,0
2024/4/13,9,18.9,0.79,1,0
2024/4/14,15,21.9,0.79,1,0
2024/4/15,21,22.7,0.79,0,0
2024/4/16,11,21.7,0.79,0,0
2024/4/17,17,19.3,0.79,0,0
2024/4/18,17,19.7,0.79,0,0
2024/4/19,20,19.8,0.79,0,0
2024/4/20,17,20.2,0.79,1,0
2024/4/21,21,20.4,0.79,1,0
2024/4/22,43,20,0.79,0,0
2024/4/23,26,21.5,0.79,0,0
2024/4/24,33,20,0.79,0,0
2024/4/25,35,21.1,0.79,0,0
2024/4/26,23,22.6,0.79,0,0
2024/4/27,25,24.4,0.79,1,0
2024/4/28,48,21.7,0.79,1,0
2024/4/29,38,20.2,0.79,0,0
2024/4/30,32,14.8,0.79,0,0
2024/5/1,15,15.6,0.72,0,0
2024/5/2,26,18.3,0.72,0,0
2024/5/3,20,16.8,0.72,0,0
2024/5/4,27,15.6,0.72,1,0
2024/5/5,51,17.4,0.72,1,0
2024/5/6,66,21,0.72,0,0
2024/5/7,44,23,0.72,0,0
2024/5/8,54,23.6,0.72,0,0
